trial,found_ik,solve_time,position_error,orientation_error,px, py, pz, t1, t2,t3,t4,t5,t6,t7, p1, p2, p3, p4, p5, p6 , p7
29,true,1106,3.94897e-06,6.26747e-06,-0.0423041,0.70606,0.634399,1.27173, 1.66766, 2.45831, -1.30411, 2.85572, 1.19671, -1.83755,-2.16309, -0.625285, -1.96051, -1.228, -1.76279, 1.67628, -1.20452
30,false,100031,1.07486,2.37913,0.538692,0.362663,0.251052,0.171289, -0.635202, 1.00296, -1.07129, -0.413996, 2.41272, -2.65299,
31,true,735,3.89723e-06,9.20169e-06,-0.0522877,-0.0723579,0.581869,2.16625, 1.46951, 2.30969, -3.00896, 1.74028, 0.544415, -2.18251,-0.727639, -1.7628, -0.916799, -2.99993, 1.56439, 0.910046, -2.21882
32,true,2563,2.10941e-06,1.0773e-05,0.321782,0.134483,0.432058,-0.617902, -0.756205, 0.764051, -2.95766, 2.56407, 1.09535, 2.55581,1.83228, -1.7628, -1.67171, -2.7811, -1.41386, 3.56541, -1.99318
33,false,100038,0.673157,0.685278,-0.288239,0.265169,0.606557,1.20564, 1.18625, -0.957678, -3.04609, -1.66918, 0.279279, -0.287191,
34,true,437,6.84118e-07,8.32137e-06,0.624154,0.291107,0.245936,2.86599, -1.11277, -2.35969, -1.40485, -1.99378, 3.39054, 0.237369,-1.64327, -1.75693, 1.56595, -1.83322, 2.82646, 1.79171, -2.16227
35,true,1249,1.11877e-05,4.3776e-06,0.246405,0.056514,1.11317,2.62396, 0.348909, -2.70014, -1.01463, -1.90684, 2.1899, 1.05603,-2.27435, 0.310496, 2.8973, -1.06999, -2.51542, 1.90169, 0.87239
36,true,417,3.36441e-06,9.30314e-06,0.117895,0.524352,0.316047,-2.48106, -1.21638, -2.03256, -1.25404, 0.0825248, 0.239352, 0.734778,-0.97186, -1.13539, 2.07148, -1.4179, -0.30448, 0.568845, -1.53245
37,true,1113,2.87915e-06,9.69518e-06,-0.241527,-0.520343,0.593071,1.99068, -0.301003, 2.04148, -1.3885, -2.6985, 3.66924, 1.77845,-1.14439, 0.304193, -1.11193, -1.38987, -2.68559, 3.67038, 1.76892
38,true,1275,6.94337e-06,1.00112e-05,0.0877916,-0.00568878,0.960391,-1.81249, -0.530159, -0.0418802, -0.786328, 0.948681, 0.39092, 0.649127,2.47581, -0.434242, 0.179264, -0.742213, -1.94304, 0.0234108, 2.27668
