trial,found_ik,solve_time,position_error,orientation_error,px, py, pz, t1, t2,t3,t4,t5,t6,t7, p1, p2, p3, p4, p5, p6 , p7
29,true,7223,9.8111e-06,4.92867e-06,0.274997,-0.258878,1.09633,1.72993, -0.643405, -0.826747, -0.621466, 2.04846, 2.41508, -1.1252,0.304754, 0.19821, -1.43455, -0.68165, -2.52516, 2.27366, -0.520093
30,true,1240,3.46895e-06,9.45672e-06,0.286746,0.265986,0.346618,-0.114969, -0.3397, 1.15827, -2.73773, -1.84613, 1.54989, -1.98892,-0.49839, -1.61881, 1.45583, -2.74778, -1.21781, 2.72558, -2.03062
31,true,460,1.88883e-06,8.68925e-06,0.22017,-0.434638,0.430522,1.24848, -0.300175, -2.01907, -2.29081, -2.05803, 0.635447, -1.57791,2.03076, -0.1487, -2.84534, -2.26993, -1.86514, 0.816185, -1.4926
32,true,822,3.20285e-06,7.86297e-06,-0.219123,-0.136692,0.108123,2.15881, 1.1904, 0.657903, -3.02082, 2.54993, 1.13522, -0.398269,1.77977, 1.46914, 0.553334, -2.9698, 2.20575, 1.457, -0.693026
33,true,2583,9.69771e-07,7.90266e-06,-0.213158,0.105302,0.737118,0.927211, 1.38369, 2.47898, -2.21238, -2.47103, 3.30925, 1.63262,-2.35447, -1.34608, -0.726169, -2.52121, -1.14191, 3.42919, 0.304936
34,false,100063,0.868455,2.86586,0.429995,0.381995,0.87938,0.557511, 1.33094, -1.55407, -1.62342, -0.556432, 2.64091, 0.763925,
35,true,1258,1.0804e-06,7.50361e-06,0.19829,-0.354717,0.637306,-2.13973, -1.0001, 0.803695, -2.47941, 0.172127, 2.90985, -1.99563,-2.37269, -1.23409, 0.946945, -2.41311, 0.89824, 2.74902, -2.51202
36,true,1679,7.29787e-07,7.29619e-06,0.333673,0.509749,0.704728,-0.78497, -0.0512949, 1.69805, -1.61065, -1.57515, 2.66039, -1.04786,2.20467, 0.934297, -1.76414, -1.67734, 0.894127, 3.03553, -2.66848
37,true,480,1.21538e-06,8.46306e-06,-0.254478,0.463815,0.00199113,1.84035, 1.07255, 0.450487, -1.8364, -1.69456, 1.32735, -0.327813,-0.513699, -1.04692, 2.75432, -1.85691, -1.12675, 1.90634, -0.403485
38,true,343,2.28358e-06,3.59906e-06,0.319946,0.183828,0.452479,-0.602258, 1.43769, 1.81598, -1.97862, 0.124801, 0.218183, -0.727645,-1.04225, -1.6638, 1.26173, -2.30415, -0.00700102, 1.35753, 2.211
39,true,899,1.73094e-06,1.1124e-05,-0.122696,-0.173369,0.0796019,-2.03597, 0.549897, 0.19179, -3.02899, 0.812788, 3.57594, -1.81454,1.59868, -0.599515, 2.79197, -2.63671, 2.8973, 3.19965, 2.33586
40,true,1263,1.27104e-05,6.38128e-06,0.155066,0.531923,0.974059,-1.7695, -0.655691, 2.41902, -0.126184, -1.63231, 2.42175, 2.41992,-1.33896, -0.951109, 0.799467, -0.792135, -0.411178, 2.7648, 2.52798
41,true,639,2.31157e-06,1.05598e-05,-0.249005,0.241412,-0.191134,1.8599, 1.4268, 0.344043, -1.8213, -0.566805, 2.04258, 1.09234,2.8973, 1.44248, -0.374016, -1.80703, 0.713536, 1.97223, 0.294596
42,true,325,1.33666e-06,8.04947e-06,0.428502,-0.109054,0.609844,2.27663, 0.153666, -2.43698, -2.34093, -2.64081, 0.602918, 2.47134,1.62923, -1.76141, -1.15364, -2.24238, 1.52421, 1.63554, 1.27835
43,true,4728,6.30829e-06,1.06944e-05,0.710702,0.384414,0.406799,-2.34729, -1.47819, 1.65452, -0.302897, -0.232958, 1.69771, -2.58025,0.67233, 1.6854, -2.88115, -0.328714, 1.18172, 1.62101, -2.73102
44,false,100027,0.556486,1.57917,-0.045456,-0.557085,0.734131,-2.6301, 0.469108, 1.96317, -2.60627, 2.3291, 0.828911, 2.67064,
45,true,2645,5.70431e-06,9.57763e-06,-0.145455,0.264516,0.928272,1.87391, 0.350492, -1.56878, -0.123702, 2.5125, 0.438579, -1.16296,-2.17087, -0.666466, -0.627512, -0.777054, -0.490155, 0.777752, -0.827479
46,true,197,1.27899e-06,3.76737e-06,0.135637,0.00869983,0.635925,-1.19583, 1.27304, 2.87367, -2.26543, -0.537675, 0.120885, 2.53269,0.372274, -1.26933, 0.168865, -2.527, -0.798296, 1.14872, 1.15293
47,true,11349,6.84337e-07,1.00166e-05,0.378061,0.239024,0.661966,-0.582621, 1.74779, 2.11679, -2.26092, -1.0281, 3.35163, 1.72308,0.498308, -0.445915, -0.0749672, -2.30855, 2.35024, 1.66376, 0.0343356
48,true,1030,1.11274e-06,5.04494e-06,-0.0381183,0.374067,0.441276,-0.200572, 1.1665, 2.0606, -2.45415, -0.447152, 1.67159, -2.7213,1.10638, -0.483909, 0.407313, -2.44142, 0.54504, 1.60491, 2.55952
49,true,1752,5.60489e-06,1.30388e-05,0.258949,0.351555,0.914762,-2.29088, -1.39793, 0.167429, -1.22326, -1.40768, 1.3869, -2.79818,1.45305, -0.0685527, -0.756045, -1.22216, 1.68662, 1.21523, 2.48469
50,false,100048,0.850664,2.30213,0.264619,-0.237277,0.607257,0.498548, -0.453432, 2.86028, -0.63651, -2.35689, 1.30776, -2.48838,
51,true,4367,4.67013e-06,7.54165e-06,-0.237484,-0.0336405,1.0434,1.64811, 0.340331, 2.6214, -0.58915, -0.688439, 1.23121, 1.40444,0.544533, 0.216179, 2.85166, -0.636479, 0.118362, 1.31688, 1.19797
52,true,1043,6.42226e-06,8.7375e-06,0.254091,-0.602275,0.398055,2.00359, -1.28476, -0.641848, -0.00875309, -2.68793, 0.461764, -0.347276,2.00745, -1.28587, 0.0508112, -0.00883646, 2.89729, 0.461436, -0.351977
53,true,58367,2.38974e-06,1.03059e-05,0.467317,-0.298643,0.808037,-0.978757, 0.304953, 0.411638, -0.764433, -2.61468, 3.68119, 1.82438,-0.45978, 0.27182, -0.450539, -0.879067, -1.99788, 3.7525, 1.51369
54,true,406,2.35633e-06,9.27791e-06,-0.236643,0.0874856,0.660296,-2.46286, -0.894359, -0.388486, -2.0769, -0.558057, 0.813579, 0.844916,2.61861, -0.810655, 0.199276, -2.15721, -0.299354, 1.15789, 0.158718
55,false,100037,1.1878,1.12462,-0.426613,-0.31558,0.998229,-1.47264, -1.56992, 2.08708, -2.45059, 1.16264, 0.247666, 2.25743,
56,true,1262,3.92955e-06,9.77005e-06,-0.395411,-0.592544,0.273218,-1.36513, 1.20509, -1.25211, -1.34611, 0.793903, 1.75668, -2.30355,0.307127, -1.7628, -1.19022, -1.32199, -2.06558, 0.977974, -1.4501
57,true,436,1.66962e-06,7.82407e-06,0.033015,-0.135681,-0.0769973,-0.219603, 1.58694, -0.00312134, -2.57896, -2.03381, 0.880943, 0.604854,-2.50524, 1.38736, 0.0452469, -2.54305, 1.61412, 1.53554, -1.05848
58,false,100026,0.79498,2.29817,-0.349936,0.182246,0.0816192,-1.87279, -1.26532, 2.61118, -0.740039, 2.68343, 0.197344, 2.17077,
59,true,1359,3.43918e-06,7.68898e-06,0.419104,-0.323556,0.0193136,-0.401108, 1.56193, -0.0810775, -1.02116, -1.16918, 0.322368, -0.573513,-0.685993, 1.61642, 0.391639, -0.982485, -1.57671, 0.0816176, -0.475078
60,true,1408,2.48167e-06,1.02947e-05,-0.21394,0.0253621,0.98102,-1.47501, 0.890093, -2.67304, -1.4791, 2.50477, 3.14535, 1.02459,2.70265, -0.760139, 0.0431359, -1.64546, -2.20937, 2.84297, -1.30527
61,false,100030,0.933107,2.32902,-0.474543,-0.0131363,0.648646,2.12587, 0.255023, -2.40302, -2.55596, -1.62975, 1.93314, -1.61983,
62,true,537,1.98109e-06,8.66714e-06,0.546919,0.254285,0.519927,1.79782, 0.122016, -1.39843, -1.94609, -1.25776, 2.44023, 2.0214,-0.566847, 1.62516, 2.05709, -2.03451, -2.70728, 1.10268, 1.56658
63,true,3027,8.65878e-06,1.2952e-05,0.0405114,0.0242386,0.972614,-0.767115, 0.166903, -2.24964, -0.202347, -1.93525, 0.217287, -2.30645,2.55244, -0.417567, 0.258804, -0.558126, -1.08611, 0.30793, -1.90492
64,true,9231,3.06576e-06,9.9892e-06,0.0500155,0.476233,0.977096,-2.27274, -0.766004, -1.12477, -0.946401, -0.228016, 3.6572, 1.12534,1.37601, 0.819059, 2.27532, -0.128925, -2.24274, 3.31703, 2.51577
65,true,424,5.64587e-06,1.15825e-05,0.181271,-0.407247,0.766892,-0.819347, 0.266329, -0.115953, -1.04433, -1.47354, 0.244753, 2.80412,-1.31277, 1.56426, 2.77286, -1.1575, 0.701984, 0.760447, 1.19594
66,true,2684,5.55933e-06,7.13187e-06,-0.0377071,0.244661,0.943942,-1.54767, 0.0751902, -2.63492, -0.66356, -1.07775, 0.496006, 0.355056,2.68231, 0.740482, -2.70987, -0.766473, 0.417912, 0.7189, -0.43192
67,true,5164,7.11332e-06,1.34121e-05,-0.0943732,-0.764008,0.636839,1.25481, -0.888785, -2.88752, -0.51891, -1.76205, 3.10562, -2.76322,-1.44314, 0.98561, -0.516779, -0.579468, 1.03918, 3.27635, 1.34063
68,false,100028,0.896667,2.61762,-0.409718,-0.263881,0.581957,2.33663, -0.828625, -1.60569, -2.59199, 1.67004, 1.34811, 1.66623,
69,true,4018,1.11703e-05,9.07348e-06,-0.185568,0.824798,0.249471,-1.51422, -1.41131, -2.76486, -0.538752, -1.08175, 2.87313, -1.19301,1.52623, 1.50773, 0.864947, -0.496798, -1.58425, 2.75773, -1.17266
70,true,1823,9.36536e-06,1.07005e-05,-0.167682,0.72817,0.689204,-1.07109, -1.40763, 0.9262, -0.783028, -2.45242, 1.60132, 2.03037,1.81918, 0.709374, -0.296617, -0.750941, 2.03422, 1.72915, 1.54142
71,false,100049,0.491943,1.68236,-0.0276986,0.300104,0.742092,0.518808, 0.528961, -0.762731, -0.0941911, -0.649294, 2.99469, 0.747793,
72,true,2666,4.16945e-06,9.74738e-06,-0.065123,0.0224939,1.0965,-0.73297, -0.243402, -1.97795, -0.0237634, 1.84229, 1.2801, -1.88417,0.32983, -0.587912, 0.449849, -0.830816, -1.48463, 1.29739, -1.527
73,true,1593,5.7003e-06,4.81523e-06,0.610128,0.106371,0.192202,0.414083, 1.72829, -1.80139, -0.594283, 2.0763, 0.00436811, -1.13895,-0.415266, 1.70343, 1.47485, -0.769584, -0.295978, 0.548343, -0.110524
74,true,673,1.95764e-06,1.23218e-05,-0.226783,-0.438856,0.799116,-1.74295, -0.323333, -0.235149, -1.81637, 0.233202, 2.62815, 2.32281,0.979416, -1.70652, -0.0120373, -1.80865, -2.76585, 1.06069, 2.71277
75,true,1644,3.17844e-06,1.0238e-05,0.183931,-0.447164,0.538309,-1.85041, 0.437471, 0.832601, -1.36145, 0.105142, 0.332707, 1.4635,-1.8143, 0.422078, 0.783423, -1.36031, 0.096608, 0.330662, 1.42861
76,true,943,2.85126e-06,1.0476e-05,-0.375239,-0.291558,0.612431,-1.08537, -0.543233, -1.34929, -1.87755, 0.997171, 1.28093, -2.17786,-1.79956, 1.7628, -2.13138, -1.8267, -1.57354, 0.593827, -0.506452
77,true,2212,6.11979e-06,1.14976e-05,-0.430429,0.477067,0.703338,-0.787361, -1.53158, 0.375073, -0.612824, -0.813193, 1.1587, -0.702945,2.57215, 1.11682, -1.32642, -0.612751, -2.3256, 0.772174, -0.702401
78,true,4691,1.19666e-05,1.0119e-05,-0.452232,-0.126178,1.02714,0.766765, -0.845615, 0.538936, -0.727069, 2.09575, 1.87676, 1.16253,1.24162, -0.218387, 1.8395, -0.789616, 0.218085, 2.37987, 1.36748
79,true,1394,1.09045e-05,1.34839e-05,0.042857,-0.830809,0.412704,-1.39606, 1.30869, -0.644928, -0.219957, 0.0105144, 2.01162, 2.45073,1.40626, -1.13172, -2.36777, -0.624377, -1.41064, 1.97113, 2.71465
80,true,1726,2.3006e-06,5.9766e-06,0.275996,-0.400992,0.313543,-2.78795, -0.147089, 1.94976, -2.37124, 1.82643, 2.93047, 2.59583,1.1431, -0.314867, -2.04784, -2.10243, 2.89724, 3.30336, 1.17684
81,true,262,1.54279e-06,8.25236e-06,-0.138614,0.451726,0.326155,0.189866, 0.14295, 1.69307, -2.32369, -0.144912, 2.02607, -0.682087,-2.75955, -1.02837, -1.45654, -2.24924, -0.889124, 1.61607, -0.0961988
82,true,2050,9.95559e-06,1.19689e-05,-0.0802737,-0.590735,0.207751,0.254272, -1.21039, -1.97933, -2.0133, 1.52636, 2.17277, 1.58033,-2.8973, 1.23243, 1.17731, -2.01356, 1.50907, 2.19354, 1.5814
83,true,854,1.38724e-06,9.08613e-06,0.145205,0.249977,-0.209008,0.569549, 1.47244, 0.0921299, -2.047, -1.08365, 3.16235, 2.69091,0.832774, 1.59095, -0.0177538, -1.58728, -2.51724, 3.50404, -1.92464
84,true,3367,1.20876e-06,1.08923e-05,-0.461731,0.304874,0.572444,2.4645, -0.134535, 0.0126294, -2.15982, -0.590198, 3.06644, -0.99736,-1.08756, 0.153365, -2.70922, -2.18423, -0.327464, 3.09433, -1.20249
85,true,26982,1.15511e-06,1.03898e-05,0.0859434,-0.353243,0.92016,1.28042, -1.35478, -0.487565, -1.74273, 2.53983, 1.17657, 2.37385,-0.617515, -0.509826, -0.256312, -1.68146, -1.90197, 1.61906, -2.8973
86,true,1016,1.06152e-05,1.23422e-05,-0.20224,0.72846,-0.0091158,2.12141, 1.49759, -0.484421, -0.911241, -0.473713, 2.43557, -0.214397,-1.60601, -1.58549, -2.38738, -0.850263, -1.85204, 1.97741, -0.0281718
87,true,1293,3.59538e-06,8.19379e-06,0.0625531,-0.68489,0.148675,1.81834, -1.76164, -2.31717, -0.101794, -2.20611, 0.789948, 1.9354,1.65102, -1.41003, -2.62809, -0.73125, -1.63958, 0.747371, 2.28539
88,false,100030,0.315935,2.663,-0.563612,0.58566,0.315214,1.89229, 1.40457, 1.70679, -1.09501, -2.45636, 2.81138, -2.87016,
89,true,3327,1.0067e-06,9.31439e-06,0.0923759,0.197984,1.01226,1.65911, -0.670546, -0.0835474, -1.70652, 0.642113, 3.28844, -1.29592,1.39804, -0.643975, 0.0525903, -1.57649, 1.33581, 3.15718, -1.83567
