trial,found_ik,solve_time,position_error,orientation_error,px, py, pz, t1, t2,t3,t4,t5,t6,t7, p1, p2, p3, p4, p5, p6 , p7
1,false,100063,1.10937,2.65138,-0.133722,0.540852,1.08797,0.853066, 1.72783, 2.56041, 0.0383518, -0.0675791, -0.512306, 0.391755,
2,false,100025,1.06808,2.92287,0.260772,-0.254228,1.11283,2.57577, 1.06952, -0.674447, -0.215275, 1.52868, -0.136318, -1.49004,
3,false,100169,1.30581,1.66323,-0.580288,-0.487453,0.835541,-1.31099, -1.41816, -1.1587, 1.41555, -1.34616, 1.85385, 2.20648,
4,true,301,2.47619e-06,7.92966e-06,-0.304368,0.371393,0.81436,0.755723, -1.00391, -0.722002, -0.00431518, 0.493623, 2.02319, 0.780594,0.755724, -1.00392, -0.72199, 0.891154, 1.61434, 2.0232, 0.780581
5,false,100112,1.54026,2.48308,0.19823,0.728024,0.402691,-0.381037, 1.01379, 0.525748, -0.702822, 1.4405, 0.846591, -1.4885,
6,true,294,1.96722e-06,6.94924e-06,-0.115953,0.0457033,1.1483,2.55651, 0.301808, 2.06669, 0.461015, 2.6835, 3.15444, 0.302466,2.55651, 0.301805, 2.0667, -0.873089, 1.35657, 3.15443, 0.302478
7,true,424,3.90264e-06,9.13779e-06,0.115049,0.61898,0.80684,0.943964, -1.14783, -0.991119, -1.65419, 3.03501, -1.42065, -1.56596,0.943965, -1.14782, -0.991126, 0.633446, -0.32459, -1.42063, -1.56598
8,false,100052,0.279223,2.44194,0.0340121,0.524792,0.939925,0.808332, -0.675905, 0.325499, 2.86267, 3.10649, -1.56957, 1.97775,
9,false,100035,1.29981,1.6825,-0.265878,-0.25662,1.06987,1.11204, 3.01428, -0.474098, -1.43756, 2.45161, -1.19716, 0.093056,
10,false,100158,0.660516,2.89694,0.189858,0.190222,0.825901,1.42921, -1.78219, 0.471051, -1.11153, 3.07006, -1.78801, -1.83167,
